لری, فارسی
آبادی بارکِه, آبادی کوچ کرد
آخی مِن جونم , آخ به جانم
آخُ سی چه ای کارَ کِردی, آخر برای چه این کار را کردنی
شانومه آخرش خّشه,  شاهنامه آخرش خوش است
آدم مِن تيي خر, آدم در چشم خر
آدم وَ درد بِخَر , آدمي كه به درد مي خورد
آدم ليم, آدم تودار 
آدم تَکَل   , آدم بي غيرت 
آدم نابَلَد متافق كوره, آدم نابلد همانند كور است
آدم دِپَهلي, آدم دوپهلو
آدم اصل دار حرفش دوتا ني وي بو, آدم اصل دار سخنش دوتا نمي شود
آدم خَش حساب شريك مال مَردمه, آدم خوش حساب شريك مال مردم است
آدم چند تا را بپايِه, آدم چند نفر را بپاید
آدمي با هِندي بي بالِه, آدمي زاد پرنده­ي بدون بال است 
آدم گسنه ايمون ندارِه , آدم گرسنه ايمان ندارد
آدم، بي گِدار واو ني زَنِه, آدم بی گدار به  آب نمی زند
آدم ويلا خهسه  , آدم بی دلیل خسته
آدم داريم تا آدم, آدم داريم تا آدم
آدم شجا يه دهفه اي ميره ولي آدم زهله ترو هزار وِلا, آدم شجاع يك بار مي­ميرد ولي آدم ترسو هزار مرتبه
آدم كم دهسي یه, آدم كم دستي است
آدم خوب ككي بي بهرِه, آدم خوب برادر بي سهم است
آدم بودار , آدم پدر دار 
آدم خوب خوبهِ، آدم بد بدِه, آدم خوب،  خوب است و آدم بد،  بد است
آدم بی دهس و پا  , آدم بی دست و پا 
آدمتم, آدمت هستم
كُه و كُه ني­رَسِه ولي آدم و آدم ای­رَسِه, كوه به كوه نمي رسد ولي آدمی به آدمی مي­رسد
آدمي دلش اي­سُوسِه , آدمي زاد دلش مي­سوزد
آدم دلش اي­سُوسِه , دل آدم مي­سوزد
اَروا بوت , ارواح پدرت
آراسه كردن, آراسته کردن
آربیز و قیلون ای­گُ  , الک به قلیان  می گوید
دِ سِمه داری , دو سوراخ داری
قیلون ای­گُـ , قلیان می گوید
ریت سِه , رویت سیاه
تِ که او وا دار نداری, تو که آب را نگه نمی داری
آرد وَ سگ قرض مکُ, آرد از سگ قرض مکن
آرد ای بیز ی پست ای جُمه , آرد که الک می­کنی باسنت تکان می­خورد
آرمونت مِن دلم, آرزوی تو در دلم است
یه سال آزگار , یک سال تمام
آسمونه مِن سرش يه قَرش كهِ  , آسمان را بر سرش يك قران كرد
و سهل آسوني اي كاره كهِ, به راحتي اين كار را انجام داد
آسيوش همه چي اي يَره, آسيابش همه چيز را آرد مي­كند
آسيو وگاره , آسيا به نوبت است
آشش بي طومِ, آشش بی طعم است
آش نخورده دهن سهته , آش نخورده دهان سوخته
آشومه نداره, آرامش ندارد
آغي سبيل گُت كسي وَدينت ني خُت ايجكي خِتا خُت , اي آقاي سبيل گنده كسي دنبالت نيست خودت به خودي خود مي­دوي
مث گی آلات خّرِه, همانند گاوی است که پارچه های کهنه می­خورد
خدا بیامرزش , خدا بیامرزدش 
وختي اومدي اي كاره بكُ , وقتي آمدي اين كار را انجام بده
اختيار مِنِ دهسِه تنه, اختيار در دست تو است
اَر روغَن بيدي پياز بيدي اَر آرد بيدي گِرده اي­كِردُم , اگر روغن و پياز مي بود، اگر آرد مي بود  نان مخصوص درست مي كردم.    
